Titles,Score,Action,Drama,Holiday,Romance,Fantasy,Musical,Horror,Comedy,Sci-Fi,Rating,Month
Nosferatu,7.7,False,False,False,False,True,False,True,False,False,1,December
Y2K,4.9,False,False,False,False,False,False,True,True,True,2,December
Nightbitch,5.7,False,False,False,False,False,False,True,True,False,3,December
Wallace & Gromit: Vengeance Most Fowl,7.8,True,False,False,False,False,False,False,True,False,4,December
Sonic the Hedgehog 3,7.2,True,False,False,False,True,False,False,True,True,5,December
The Room Next Door,7.0,False,True,False,False,False,False,False,False,False,6,December
On Becoming a Guinea Fowl,7.2,False,True,False,False,False,False,False,True,False,7,December
The Lord of the Rings: The War of the Rohirrim,6.4,True,True,False,False,True,False,False,False,False,8,December
The Return,6.3,False,True,False,False,False,False,False,False,False,9,December
Hard Truths,7.5,False,True,False,False,False,False,False,True,False,10,December
Nosferatu,7.7,False,False,False,False,True,False,True,False,False,1,January
Wicked,7.8,False,False,False,True,True,True,False,False,False,2,January
Carry-On,6.5,True,True,True,False,False,False,False,False,False,3,January
Gladiator II,6.7,True,True,False,False,False,False,False,False,False,4,January
Mufasa: The Lion King,6.7,False,True,False,False,True,True,False,False,False,5,January
Sonic the Hedgehog 3,7.2,True,False,False,False,True,False,False,True,True,6,January
Babygirl,6.6,False,True,False,False,False,False,False,False,False,7,January
Juror #2,7.0,False,True,False,False,False,False,False,False,False,8,January
Pushpa: The Rule - Part 2,6.3,True,True,False,False,False,False,False,False,False,9,January
A Complete Unknown,7.8,False,True,False,False,False,False,False,False,False,10,January
